pair_id,imageA,imageB,dimension
130,sampled_images/20720_108.932_34.3119_90_0.png,sampled_images/45951_108.896_34.2525_90_0.png,Greenery
131,sampled_images/261_108.938_34.2608_90_0.png,sampled_images/28052_108.898_34.1729_90_0.png,Greenery
132,sampled_images/76208_108.86_34.3313_90_0.png,sampled_images/86097_109.022_34.2001_90_0.png,Greenery
133,sampled_images/46137_108.858_34.3228_90_0.png,sampled_images/70284_108.938_34.2701_90_0.png,Greenery
134,sampled_images/10012_108.884_34.2386_90_0.png,sampled_images/60624_108.851_34.2001_90_0.png,Greenery
135,sampled_images/27778_108.92_34.3651_90_0.png,sampled_images/88402_108.99_34.3437_90_0.png,Greenery
136,sampled_images/2584_108.991_34.3125_90_0.png,sampled_images/77074_108.848_34.3469_90_0.png,Greenery
137,sampled_images/25300_108.952_34.2038_90_0.png,sampled_images/35204_108.816_34.2538_90_0.png,Greenery
138,sampled_images/11377_108.843_34.2431_90_0.png,sampled_images/22573_109.011_34.2613_90_0.png,Greenery
139,sampled_images/106048_108.867_34.1679_90_0.png,sampled_images/39725_109.054_34.3565_90_0.png,Greenery
140,sampled_images/259_108.936_34.2608_90_0.png,sampled_images/50302_108.918_34.3101_90_0.png,Greenery
141,sampled_images/39725_109.054_34.3565_90_0.png,sampled_images/62154_108.964_34.148_90_0.png,Greenery
142,sampled_images/262_108.939_34.2608_90_0.png,sampled_images/96888_108.869_34.1739_90_0.png,Greenery
143,sampled_images/21028_109.004_34.2919_90_0.png,sampled_images/34446_108.949_34.3037_90_0.png,Greenery
144,sampled_images/103944_108.904_34.2388_90_0.png,sampled_images/45951_108.896_34.2525_90_0.png,Greenery
145,sampled_images/54730_109.07_34.2796_90_0.png,sampled_images/93620_108.977_34.3796_90_0.png,Greenery
146,sampled_images/109587_108.933_34.3782_90_0.png,sampled_images/38780_108.818_34.238_90_0.png,Greenery
147,sampled_images/34242_108.872_34.2134_90_0.png,sampled_images/89483_108.962_34.3898_90_0.png,Greenery
148,sampled_images/109595_108.944_34.3127_90_0.png,sampled_images/11936_108.942_34.268_90_0.png,Greenery
149,sampled_images/63285_108.975_34.2043_90_0.png,sampled_images/69862_108.988_34.2136_90_0.png,Greenery
150,sampled_images/10766_109.073_34.2973_90_0.png,sampled_images/15918_108.944_34.3314_90_0.png,Greenery
151,sampled_images/26734_108.887_34.1504_90_0.png,sampled_images/76208_108.86_34.3313_90_0.png,Greenery
152,sampled_images/109779_108.814_34.179_90_0.png,sampled_images/21542_108.977_34.3675_90_0.png,Greenery
153,sampled_images/109587_108.933_34.3782_90_0.png,sampled_images/22573_109.011_34.2613_90_0.png,Greenery
154,sampled_images/16546_109.051_34.3409_90_0.png,sampled_images/44062_108.954_34.328_90_0.png,Greenery
155,sampled_images/40191_108.991_34.3446_90_0.png,sampled_images/4198_109.017_34.2308_90_0.png,Greenery
156,sampled_images/107615_108.928_34.2712_90_0.png,sampled_images/31456_109.003_34.2442_90_0.png,Greenery
157,sampled_images/29897_108.934_34.2174_90_0.png,sampled_images/6507_109.041_34.2574_90_0.png,Greenery
158,sampled_images/26094_108.91_34.1519_90_0.png,sampled_images/34519_108.897_34.2805_90_0.png,Greenery
159,sampled_images/27338_108.992_34.2586_90_0.png,sampled_images/41795_109.053_34.2526_90_0.png,Greenery
160,sampled_images/34519_108.897_34.2805_90_0.png,sampled_images/35717_108.991_34.373_90_0.png,Greenery
161,sampled_images/109587_108.933_34.3782_90_0.png,sampled_images/5376_108.913_34.2203_90_0.png,Greenery
162,sampled_images/102236_108.865_34.2541_90_0.png,sampled_images/53792_109.01_34.2707_90_0.png,Greenery
163,sampled_images/102855_108.947_34.363_90_0.png,sampled_images/21940_108.91_34.2403_90_0.png,Greenery
164,sampled_images/26628_108.956_34.3313_90_0.png,sampled_images/45951_108.896_34.2525_90_0.png,Greenery
165,sampled_images/103944_108.904_34.2388_90_0.png,sampled_images/54390_108.919_34.3414_90_0.png,Greenery
166,sampled_images/103521_109.015_34.2103_90_0.png,sampled_images/74053_108.864_34.1903_90_0.png,Greenery
167,sampled_images/39230_108.886_34.2581_90_0.png,sampled_images/50182_108.971_34.1564_90_0.png,Greenery
168,sampled_images/68330_108.92_34.3116_90_0.png,sampled_images/85333_108.922_34.1891_90_0.png,Greenery
169,sampled_images/102477_108.898_34.2882_90_0.png,sampled_images/31456_109.003_34.2442_90_0.png,Greenery
170,sampled_images/34598_108.972_34.2685_90_0.png,sampled_images/90354_108.931_34.3859_90_0.png,Greenery
171,sampled_images/50302_108.918_34.3101_90_0.png,sampled_images/74783_109.045_34.2309_90_0.png,Greenery
172,sampled_images/101916_108.942_34.3218_90_0.png,sampled_images/34242_108.872_34.2134_90_0.png,Greenery
173,sampled_images/11377_108.843_34.2431_90_0.png,sampled_images/90354_108.931_34.3859_90_0.png,Greenery
174,sampled_images/41795_109.053_34.2526_90_0.png,sampled_images/54965_108.976_34.4056_90_0.png,Greenery
175,sampled_images/18994_108.876_34.2881_90_0.png,sampled_images/78538_109.068_34.2761_90_0.png,Greenery
176,sampled_images/107149_109.011_34.3535_90_0.png,sampled_images/2584_108.991_34.3125_90_0.png,Greenery
177,sampled_images/104668_108.959_34.2267_90_0.png,sampled_images/109670_108.844_34.3041_90_0.png,Greenery
178,sampled_images/26637_108.964_34.3313_90_0.png,sampled_images/27107_109.05_34.2365_90_0.png,Greenery
179,sampled_images/104796_108.984_34.144_90_0.png,sampled_images/85333_108.922_34.1891_90_0.png,Greenery
180,sampled_images/103597_108.869_34.1898_90_0.png,sampled_images/104514_108.967_34.3379_90_0.png,Greenery
181,sampled_images/50027_109.003_34.2789_90_0.png,sampled_images/69862_108.988_34.2136_90_0.png,Greenery
182,sampled_images/49078_108.917_34.3533_90_0.png,sampled_images/97319_108.828_34.1834_90_0.png,Greenery
183,sampled_images/19272_108.807_34.1177_90_0.png,sampled_images/40191_108.991_34.3446_90_0.png,Greenery
184,sampled_images/34446_108.949_34.3037_90_0.png,sampled_images/92660_108.868_34.1602_90_0.png,Greenery
185,sampled_images/19046_108.842_34.2925_90_0.png,sampled_images/27291_108.985_34.2304_90_0.png,Greenery
186,sampled_images/104568_108.967_34.2978_90_0.png,sampled_images/5453_109.044_34.3003_90_0.png,Greenery
187,sampled_images/40976_108.835_34.2682_90_0.png,sampled_images/5446_109.044_34.2951_90_0.png,Greenery
188,sampled_images/103272_108.93_34.1891_90_0.png,sampled_images/27058_108.886_34.2879_90_0.png,Greenery
189,sampled_images/103730_108.941_34.2512_90_0.png,sampled_images/6507_109.041_34.2574_90_0.png,Greenery
190,sampled_images/34598_108.972_34.2685_90_0.png,sampled_images/96888_108.869_34.1739_90_0.png,Greenery
191,sampled_images/39725_109.054_34.3565_90_0.png,sampled_images/77716_108.826_34.1252_90_0.png,Greenery
192,sampled_images/103272_108.93_34.1891_90_0.png,sampled_images/76546_108.981_34.2167_90_0.png,Greenery
193,sampled_images/44676_108.952_34.2137_90_0.png,sampled_images/75847_108.887_34.2729_90_0.png,Greenery
194,sampled_images/12207_108.903_34.1863_90_0.png,sampled_images/53026_109.09_34.2961_90_0.png,Greenery
195,sampled_images/103272_108.93_34.1891_90_0.png,sampled_images/104568_108.967_34.2978_90_0.png,Greenery
196,sampled_images/21028_109.004_34.2919_90_0.png,sampled_images/34014_109.087_34.3198_90_0.png,Greenery
197,sampled_images/102528_108.836_34.2431_90_0.png,sampled_images/109736_108.848_34.1602_90_0.png,Greenery
198,sampled_images/24560_108.984_34.2408_90_0.png,sampled_images/53884_108.948_34.2313_90_0.png,Greenery
199,sampled_images/12959_108.862_34.1816_90_0.png,sampled_images/26199_109.001_34.1961_90_0.png,Greenery
200,sampled_images/11670_108.878_34.1875_90_0.png,sampled_images/21028_109.004_34.2919_90_0.png,Greenery
201,sampled_images/76546_108.981_34.2167_90_0.png,sampled_images/96814_109.058_34.2483_90_0.png,Greenery
202,sampled_images/24264_108.841_34.1528_90_0.png,sampled_images/34951_108.87_34.2073_90_0.png,Greenery
203,sampled_images/10766_109.073_34.2973_90_0.png,sampled_images/46720_108.857_34.2062_90_0.png,Greenery
204,sampled_images/108619_108.886_34.2799_90_0.png,sampled_images/81227_108.943_34.3792_90_0.png,Greenery
